PassengerID,FlightType,TicketType,LuggageType,SelfCheckin,CarryOnWeight,SystemArrivalTime,DepartureTime,TotalJourneyTime,Queue_Normal_Check-in,ServiceStart_Normal_Check-in,ServiceCompletion_Normal_Check-in,Traversal_Normal_Check-in,Queue_Self_Check-in,ServiceStart_Self_Check-in,ServiceCompletion_Self_Check-in,Traversal_Self_Check-in,Queue_Regular_Security,ServiceStart_Regular_Security,ServiceCompletion_Regular_Security,Traversal_Regular_Security,Queue_Fast_Track_Security,ServiceStart_Fast_Track_Security,ServiceCompletion_Fast_Track_Security,Traversal_Fast_Track_Security,Queue_Customs,ServiceStart_Customs,ServiceCompletion_Customs,Traversal_Customs,Queue_Boarding,ServiceStart_Boarding,ServiceCompletion_Boarding,Traversal_Boarding
1,Domestic,ECONOMY,STANDARD,false,5.290,0.000,13.423,13.423,0.000,0.000,4.792,1.212,-1.000,-1.000,-1.000,-1.000,6.004,6.004,9.966,1.164,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,11.130,11.130,13.423,-1.000
2,Domestic,ECONOMY,STANDARD,false,6.283,0.000,17.734,17.734,0.083,4.792,8.354,1.407,-1.000,-1.000,-1.000,-1.000,9.760,9.966,13.811,0.972,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,14.783,14.783,17.734,-1.000
3,Domestic,FIRST,STANDARD,false,7.851,0.083,20.643,20.560,4.168,8.354,11.293,0.991,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,12.284,12.284,15.351,0.918,-1.000,-1.000,-1.000,-1.000,16.269,17.734,20.643,-1.000
4,International,ECONOMY,STANDARD,true,3.185,4.168,24.617,20.449,-1.000,-1.000,-1.000,-1.000,6.498,6.498,9.471,1.074,10.545,13.811,17.373,1.579,-1.000,-1.000,-1.000,-1.000,18.953,18.953,20.953,0.858,21.811,21.811,24.617,-1.000
5,Domestic,ECONOMY,STANDARD,false,2.441,6.498,26.888,20.391,8.169,11.293,13.483,1.387,-1.000,-1.000,-1.000,-1.000,14.870,17.373,21.836,1.336,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,23.172,24.617,26.888,-1.000
6,Domestic,ECONOMY,STANDARD,false,4.035,8.169,28.773,20.604,8.203,13.483,16.493,1.472,-1.000,-1.000,-1.000,-1.000,17.965,21.836,25.688,0.665,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,26.353,26.888,28.773,-1.000
7,Domestic,ECONOMY,STANDARD,true,3.851,8.203,33.755,25.552,-1.000,-1.000,-1.000,-1.000,20.674,20.674,24.364,1.389,25.753,25.753,30.002,1.106,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,31.108,31.108,33.755,-1.000
8,Domestic,FIRST,STANDARD,false,4.150,20.674,31.097,10.422,21.002,21.002,22.546,1.434,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,23.980,23.980,27.166,1.103,-1.000,-1.000,-1.000,-1.000,28.269,28.773,31.097,-1.000
9,Domestic,ECONOMY,STANDARD,true,7.444,21.002,37.793,16.791,-1.000,-1.000,-1.000,-1.000,25.006,25.006,27.936,0.934,28.869,30.002,33.985,1.287,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,35.272,35.272,37.793,-1.000
10,International,ECONOMY,STANDARD,true,0.627,25.006,50.350,25.343,-1.000,-1.000,-1.000,-1.000,36.039,36.039,37.817,1.717,39.534,39.534,43.562,1.573,-1.000,-1.000,-1.000,-1.000,45.134,45.134,47.152,0.679,47.831,47.831,50.350,-1.000
11,Domestic,ECONOMY,OVERSIZED,false,7.490,36.039,53.572,17.533,37.262,37.262,41.166,1.169,-1.000,-1.000,-1.000,-1.000,42.335,43.562,48.329,0.889,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,49.218,50.350,53.572,-1.000
